,QUARTER,TELEPHONY SERVICES,MOBILE SERVICES,Total Mobile (SIM) Subscriptions,Safaricom SIM Subscription - Prepaid,Safaricom SIM Subscription - Postpaid,Airtel Kenya SIM Subscription - Prepaid,Airtel Kenya SIM Subscription - Postpaid,Telkom Kenya SIM Subscription - Prepaid,Telkom Kenya SIM Subscription - Postpaid,Equitel SIM Subscription - Prepaid,Equitel SIM Subscription - Postpaid,Mobile Pay SIM Subscription - Prepaid,Mobile Pay SIM Subscription - Postpaid,Jamii Telkom SIM Subscription - Prepaid,Jamii Telkom SIM Subscription - Postpaid,Machine to Machine (M2M) Subscriptions,VOICE,Safaricom PLC On-net,Safaricom PLC Off-net,Airtel On-net,Airtel Off-net,Telkom On-net,Telkom Off-net,Equitel On-net,Equitel Off-net,JTL On-net,JTL Off-net,Mobile Pay On-net,Mobile Pay Off-net,Total On-net,Total Off-net,SMS,Safaricom PLC On-net,Safaricom PLC Off-net,Airtel On-net,Airtel Off-net,Telkom On-net,Telkom Off-net,Equitel On-net,Equitel Off-net,JTL On-net,JTL Off-net,Mobile Pay On-net,Mobile Pay Off-net,Total On-net,Total Off-net,MOBILE MONEY TRANSFER,Number of Registered  Mobile Money Agents,Mobile Money Subscriptions,Value of C2B Transfers in KES,Value of B2C Transfers in KES,Value of B2B Transfers in KES,Value of G2C Transfers in KES,Value of C2G Transfers in KES,Number of P2P Transfers,Value of P2P Transfers in KES,Total value of Deposits in KES, DATA,Total Data Subscriptions,Total Broadband subscription,FIXED DATA,Safaricom Fixed Data,Wananchi Group Fixed Data,Jamii Telecommunications Fixed Data,Poa Internet Fixed Data,Liquid Telecommunications Fixed Data,Mawingu Networks Fixed Data,Dimensions Data Fixed Data(ISK/Access Kenya),Telkom Kenya Fixed Data,Other Fixed Service Providers
April - June 2022,Q4 2021/2022,0,0,64673817,41372231,1162451,16955801,91181,3397364,24981,1397416,0,0,0,272392,0,1341111,0,11969155430,730584597,4618228561,1511387896,197738018,143717412,2305182,26391072,32548,1387219,0,0,16787459739,2413468196,0,11877183302,732642225,594838328,708346287,3398963,48727455,1708789,3378512,12930,344878,0,0,19200927935,12477142312,0,301890,37218141,1.61408E+12,1.02105E+12,2.49E+12,310611932,12336661122,1107170048,1.1519E+12,1.43428E+12,0,47644676,30105197,0,314120,255906,200079,94699,15024,12574,12070,4386,6816
January - March 2022,Q3 2021/2022,0,0,64961031,41280616,1159762,16641322,87275,4099086,44607,1394049,0,0,0,254314,0,1233039,0,12279979141,726242962,4252837794,1505370673,210067962,175401788,2538671,26222876,34061,1334331,0,0,16745457629,2434572630,0,9202183616,575606105,509510385,580709965,5689019,50005687,1323363,2824565,12905,318011,0,0,9718719288,1209464333,0,293589,36446216,1.3863E+12,9.20528E+11,2.21978E+12,822857114,13472032235,1041544760,1.11024E+12,1.25785E+12,0,46590085,30251455,0,303667,238414,173512,84388,14942,12234,11786,4454,5075
October - December 2021,Q2 2021/2022,0,0,65085720,41679898,1199277,16339931,85468,4099086,44607,1401121,0,0,0,236332,0,1124396,0,13724086806,779409424,4202735253,1490007384,210067962,175401788,2469007,23260583,31612,1349637,0,0,18139390640,2469428816,0,8241041391,440933157,462762732,498987746,5689019,50005687,2417628,5850315,18529,303308,0,0,8711929299,996080213,0,292301,35209037,1.30746E+12,9.00567E+11,2.15315E+12,969063644,11746233047,1010377033,1.12725E+12,1.25354E+12,0,46355022,29149638,0,293964,229126,157112,71515,14517,11470,11124,4454,5009
July - September 2021,Q1 2021/2022,0,0,64897016,40808899,1136887,17024384,85177,4117760,43594,1466086,0,0,0,214229,0,988184,0,13305411255,729859024,4436453103,1484480850,183569214,197763801,2382560,18719754,30325,1361453,0,0,17927846457,2432184882,0,8247852493,407875135,501991456,484725943,5818571,43677684,1822575,5655464,5769,103678,0,0,8757490864,942037904,0,289095,34586848,1.19639E+12,8.17677E+11,1.96076E+12,1885367083,12331336677,912039926,1.0819E+12,1.18127E+12,0,45646906,27658086,0,284420,224124,145337,69906,15458,11557,9960,3870,3869
April - June 2021,Q4 2020/2021,0,0,64402022,40242938,1130200,17241086,86204,3964174,45584,1495535,0,0,0,196301,0,0,0,12605988648,697779149,4281288410,1514349704,166188354,197588887,2756647,28214985,31982,1394822,0,0,17056254041,2439327547,0,10974066194,524953807,583042609,630482338,7662766,41222162,3153955,7207997,10818,181858,0,0,11567936342,1204048162,0,283357,34664707,9.88019E+11,7.21923E+11,1.70852E+12,2671076965,11576180527,838263623,1.01053E+12,1.01804E+12,0,46736549,0,0,269397,217300,138269,65129,14806,11811,9960,4361,3296
January - March 2021,Q3 2020/2021,0,0,61957642,38798116,1103853,16392065,95091,3798970,45473,1546009,0,0,0,178065,0,0,0,13122842378,670918080,3901965550,1381821924,182619152,178095384,2338655,25018872,28782,1160909,0,0,17209794517,2257015169,0,9287550496,463945044,355409867,416067452,7105647,30479089,2141990,6538318,10160,245283,0,0,9652218160,917275186,0,275907,33101996,1.08384E+12,6.64671E+11,1.77366E+12,3356262437,12139387418,787758859,9.7097E+11,1.2134E+12,0,43742834,0,0,255594,216219,135602,61867,14921,11708,9439,4739,3166
October - December 2020,Q2 2020/2021,0,0,61408904,37991385,1077957,16578051,99006,3758676,64781,1678127,0,0,0,160921,0,0,0,12907136339,690971548,4182633631,1409635793,233526679,194970329,2094972,22935084,23793,1117152,0,0,17325415414,2319629906,0,12504363015,568588001,399260526,621519823,10368264,67806027,2822756,6813252,12050,265601,0,0,12916826611,1264992704,0,264390,32460015,9.83777E+11,6.48818E+11,1.70404E+12,7150984960,13175754206,871466799,871466799,1.10114E+12,0,44391490,0,0,243623,206989,131793,59614,13047,11501,9578,4641,3531
July - September 2020,Q1 2020/2021,0,0,59842938,37090704,1053709,16161174,106218,3702906,63440,1664787,0,0,0,0,0,0,0,11127308928,623340771,4493918359,1332862563,327239102,211805929,2577971,24752146,0,0,0,0,15951044360,2201761409,0,15354488945,637175501,265492097,632149693,12719175,74685591,3344630,6870143,0,0,0,0,15636044847,1350880928,0,245124,31791413,7.35903E+11,5.30771E+11,1.33655E+12,7489510294,12365356613,713955857,8.96495E+11,8.88107E+11,0,43450860,0,0,229406,202237,127914,56824,11087,9228,0,4572,3548
April - June 2020,Q4 2019/2020,0,0,57032232,35587262,999874,15201347,106075,3405149,36213,1696312,0,0,0,0,0,0,0,8668565811,482141260,4336270714,1138697023,330026478,194236480,2599146,22745474,0,0,0,0,13337462149,1837820237,0,18422694999,666880055,274698011,626774628,12069402,76215596,3834948,6898838,0,0,0,0,18713297360,1376769117,0,223184,30518189,4.46501E+11,3.85108E+11,9.94641E+11,0,8725304830,559042464,7.22552E+11,6.34028E+11,0,41452221,0,0,207398,201605,118493,54831,10708,9444,9115,4780,3205
January - March 2020,Q3 2019/2020,0,0,55206628,34590154,1017148,14575603,106690,3170162,20499,1726372,0,0,0,0,0,0,0,9559475830,495566341,3691211160,1042803227,295271608,191436832,4964284,26930265,0,0,0,0,13550922882,1756736665,0,15485640638,482456704,176357877,583176631,10419218,72583692,1835368,5272752,0,0,0,0,15674253101,1143489779,0,202102,29185577,3.10478E+11,3.6533E+11,8.78163E+11,0,23310146591,449890487,6.74071E+11,6.08165E+11,0,39394702,0,0,185821,188167,78149,53272,10501,9444,8897,4211,3138
